id;processStep;stepStatus;criticality;stepStartDate;stepEndDate;purchaseRequest_ID
1001;Request Created;Completed;3;2025-08-01;2025-08-02;2feec9ec-c192-48c6-8971-e3c4838cb861
1002;Manager Approval;Completed;3;2025-08-02;2025-08-15;2feec9ec-c192-48c6-8971-e3c4838cb861
1003;Budget Check;Completed;3;2025-08-15;2025-08-20;2feec9ec-c192-48c6-8971-e3c4838cb861
1004;Final Approval;Completed;3;2025-08-20;2025-09-01;2feec9ec-c192-48c6-8971-e3c4838cb861
1005;PO Created;Completed;3;2025-09-01;2025-09-05;2feec9ec-c192-48c6-8971-e3c4838cb861
1006;In Delivery;In Progress;2;2025-09-05;2025-12-30;2feec9ec-c192-48c6-8971-e3c4838cb861
2001;Request Created;Completed;3;2025-08-05;2025-08-06;919f1a94-0281-4226-ad3a-9148af4cb5d2
2002;Manager Approval;Completed;3;2025-08-06;2025-08-18;919f1a94-0281-4226-ad3a-9148af4cb5d2
2003;Budget Check;Completed;3;2025-08-18;2025-08-23;919f1a94-0281-4226-ad3a-9148af4cb5d2
2004;Final Approval;Completed;3;2025-08-23;2025-09-03;919f1a94-0281-4226-ad3a-9148af4cb5d2
2005;PO Created;Completed;3;2025-09-03;2025-09-07;919f1a94-0281-4226-ad3a-9148af4cb5d2
2006;In Delivery;In Progress;2;2025-09-07;2025-12-25;919f1a94-0281-4226-ad3a-9148af4cb5d2
3001;Request Created;Completed;3;2025-08-10;2025-08-11;f1c73988-bc83-4b5b-8169-80a946852c9a
3002;Manager Approval;Completed;3;2025-08-11;2025-08-25;f1c73988-bc83-4b5b-8169-80a946852c9a
3003;Budget Check;Completed;3;2025-08-25;2025-08-30;f1c73988-bc83-4b5b-8169-80a946852c9a
3004;Final Approval;Completed;3;2025-08-30;2025-09-05;f1c73988-bc83-4b5b-8169-80a946852c9a
3005;PO Created;Completed;3;2025-09-05;2025-09-10;f1c73988-bc83-4b5b-8169-80a946852c9a
3006;In Delivery;In Progress;2;2025-09-10;2026-01-10;f1c73988-bc83-4b5b-8169-80a946852c9a
4001;Request Created;Completed;3;2025-08-15;2025-08-16;4e507caf-c53d-445b-abf9-341839aec969
4002;Manager Approval;Completed;3;2025-08-16;2025-08-28;4e507caf-c53d-445b-abf9-341839aec969
4003;Budget Check;Completed;3;2025-08-28;2025-09-02;4e507caf-c53d-445b-abf9-341839aec969
4004;Final Approval;Completed;3;2025-09-02;2025-09-08;4e507caf-c53d-445b-abf9-341839aec969
4005;PO Created;Completed;3;2025-09-08;2025-09-12;4e507caf-c53d-445b-abf9-341839aec969
4006;In Delivery;Completed;3;2025-09-12;2025-12-20;4e507caf-c53d-445b-abf9-341839aec969
5001;Request Created;Completed;3;2025-08-20;2025-08-21;82165023-8db0-4a82-89df-a6bd6665b11a
5002;Manager Approval;Completed;3;2025-08-21;2025-09-03;82165023-8db0-4a82-89df-a6bd6665b11a
5003;Budget Check;Completed;3;2025-09-03;2025-09-07;82165023-8db0-4a82-89df-a6bd6665b11a
5004;Final Approval;Completed;3;2025-09-07;2025-09-10;82165023-8db0-4a82-89df-a6bd6665b11a
5005;PO Created;Completed;3;2025-09-10;2025-09-14;82165023-8db0-4a82-89df-a6bd6665b11a
5006;In Delivery;In Progress;1;2025-09-14;2026-01-05;82165023-8db0-4a82-89df-a6bd6665b11a
6001;Request Created;Completed;3;2025-08-25;2025-08-26;9e4f49cf-9ffb-499d-8813-1a2ed8b98605
6002;Manager Approval;Completed;3;2025-08-26;2025-09-05;9e4f49cf-9ffb-499d-8813-1a2ed8b98605
6003;Budget Check;In Progress;2;2025-09-05;2025-09-12;9e4f49cf-9ffb-499d-8813-1a2ed8b98605
6004;Final Approval;Pending;2;2025-09-12;2025-12-15;9e4f49cf-9ffb-499d-8813-1a2ed8b98605
7001;Request Created;Completed;3;2025-08-30;2025-08-31;6cf360ec-2dc5-40b9-b782-4b8a8b488dad
7002;Manager Approval;In Progress;2;2025-08-31;2025-09-15;6cf360ec-2dc5-40b9-b782-4b8a8b488dad
8001;Request Created;Completed;3;2025-09-02;2025-09-03;7cf360ec-2dc5-40b9-b782-4b8a8b488dad
8002;Manager Approval;In Progress;2;2025-09-03;2025-09-18;7cf360ec-2dc5-40b9-b782-4b8a8b488dad
9001;Request Created;Completed;3;2025-09-05;2025-09-06;8cf360ec-2dc5-40b9-b782-4b8a8b488dad
9002;Manager Approval;Completed;3;2025-09-06;2025-09-15;8cf360ec-2dc5-40b9-b782-4b8a8b488dad
