identifier,ID,purchaseOrder,project,material,shortText,purchaseQuantity,orderUnit_code,requestDate,modifyDate,orderDate,approvalDate,deliveryDate,currency_code,price,priceUnit,unit,totalValue,frameworkAgreement,supplier_ID,purchasingOrganization,purchasingGroup,deliveryAddress,contactPerson_ID,requestStatus_code,priority_code,aiSummary
1100000119,2feec9ec-c192-48c6-8971-e3c4838cb861,4510000181,10,10000044,主料-高碳钢线材,15000,KG,2025-06-05,2025-06-10,2025-07-15,2025-08-20,2025-11-15,CNY,7,1,KG,105000,4610000036,1000175,泰和新材料总部工厂,101,泰和新材料总部工厂,067460c5-196c-4783-9563-ede797399da8,approved,1_high,
1100000105,919f1a94-0281-4226-ad3a-9148af4cb5d2,4510000167,20,10000045,辅料-氨纶线材,3000,KG,2025-06-10,2025-06-15,2025-07-20,2025-08-25,2025-11-20,CNY,16,1,KG,48000,4610000037,1000176,泰和新材料总部工厂,101,泰和新材料总部工厂,067460c5-196c-4783-9563-ede797399da8,approved,1_high,
1100000113,f1c73988-bc83-4b5b-8169-80a946852c9a,4510000175,30,10000046,辅料-天然气,12000,KG,2025-06-15,2025-06-20,2025-06-25,2025-06-30,2025-12-10,CNY,4,1,KG,48000,4610000038,1000177,泰和新材料总部工厂,101,泰和新材料总部工厂,efec3e9f-ceea-4d17-80a7-50073f71c322,approved,2_medium,
1100000122,4e507caf-c53d-445b-abf9-341839aec969,4510000184,40,10000048,辅料-固定组件,2000,KG,2025-06-20,2025-06-25,2025-06-30,2025-07-05,2025-12-25,CNY,10,1,KG,20000,4610000036,1000175,泰和新材料总部工厂,101,泰和新材料总部工厂,efec3e9f-ceea-4d17-80a7-50073f71c323,approved,3_low,
1100000108,82165023-8db0-4a82-89df-a6bd6665b11a,4510000170,50,10000049,副产品-氨纶废丝,1000,KG,2025-06-25,2025-06-30,2025-07-05,2025-07-10,2025-12-05,CNY,1,1,KG,1000,4610000037,1000176,泰和新材料总部工厂,101,泰和新材料总部工厂,efec3e9f-ceea-4d17-80a7-50073f71c324,approved,2_medium,
1100000111,9e4f49cf-9ffb-499d-8813-1a2ed8b98605,4510000173,10,10000044,主料-高碳钢线材,18000,KG,2025-07-01,2025-07-06,2025-07-11,2025-07-16,2025-12-05,CNY,6,1,KG,108000,4610000038,1000177,泰和新材料总部工厂,101,泰和新材料总部工厂,efec3e9f-ceea-4d17-80a7-50073f71c325,in_process,2_medium,
1100000116,6cf360ec-2dc5-40b9-b782-4b8a8b488dad,4510000178,20,10000045,辅料-氨纶线材,2500,KG,2025-07-05,2025-07-10,2025-07-15,2025-07-20,2025-12-10,CNY,17,1,KG,42500,4610000036,1000175,泰和新材料总部工厂,101,泰和新材料总部工厂,067460c5-196c-4783-9563-ede797399da8,new,2_medium,
1100000104,7cf360ec-2dc5-40b9-b782-4b8a8b488dad,4510000166,30,10000046,辅料-天然气,10000,KG,2025-07-10,2025-07-15,2025-07-20,2025-07-25,2025-12-15,CNY,3,1,KG,30000,4610000037,1000176,泰和新材料总部工厂,101,泰和新材料总部工厂,efec3e9f-ceea-4d17-80a7-50073f71c322,new,3_low,
1100000121,8cf360ec-2dc5-40b9-b782-4b8a8b488dad,4510000183,40,10000048,辅料-固定组件,3500,KG,2025-07-15,2025-07-20,2025-07-25,2025-07-30,2025-12-20,CNY,9,1,KG,31500,4610000038,1000177,泰和新材料总部工厂,101,泰和新材料总部工厂,efec3e9f-ceea-4d17-80a7-50073f71c323,approved,2_medium,
1100000118,9cf360ec-2dc5-40b9-b782-4b8a8b488dad,4510000180,50,10000049,副产品-氨纶废丝,1200,KG,2025-07-20,2025-07-25,2025-07-30,2025-08-04,2025-12-30,CNY,2,1,KG,2400,4610000036,1000175,泰和新材料总部工厂,101,泰和新材料总部工厂,efec3e9f-ceea-4d17-80a7-50073f71c324,approved,3_low,
